Step,TimeStamp,AvgEnergy,NoBoids,NoFoodSources,TotalFoodAvailable,Polarization,Expanse
266,15960.56,406.813,25,1,450.0047,0.4305426,1.237036
267,16020.56,406.8988,25,1,450.0047,0.4681412,0.690246
268,16080.56,406.9845,25,1,450.0047,0.4719127,0.8350239
269,16140.56,407.0703,25,1,450.0047,0.4214859,1.028608
270,16200.56,407.1561,25,1,450.0047,0.4924412,0.7546024
271,16260.56,407.2418,25,1,450.0047,0.4703851,0.4910619
272,16320.56,407.3276,25,1,450.0047,0.4803663,0.8587077
273,16380.56,407.4134,25,1,450.0047,0.4815719,0.4223842
274,16440.56,407.4991,25,1,450.0047,0.435097,0.793172
275,16500.56,407.5849,25,1,450.0047,0.4800712,0.94698
276,16560.56,407.6707,25,1,450.0047,0.4905311,0.7329263
277,16620.56,407.7564,25,1,450.0047,0.422099,0.8380029
278,16680.56,407.8422,25,1,450.0047,0.462374,0.6995508
279,16740.56,407.9279,25,1,450.0047,0.4609593,1.005485
280,16800.56,408.0137,25,1,450.0047,0.4112251,0.5026806
281,16860.56,408.0995,25,1,450.0047,0.4750251,0.7693092
282,16920.56,408.1852,25,1,450.0047,0.4837352,0.9700443
283,16980.56,408.271,25,1,450.0047,0.4632872,0.7861349
284,17040.56,408.3568,25,1,450.0047,0.4753779,0.4356505
285,17100.56,408.4425,25,1,450.0047,0.4576004,0.9541575
286,17160.56,408.5283,25,1,450.0047,0.4743377,0.8460557
287,17220.56,408.614,25,1,450.0047,0.4516065,0.743232
288,17280.56,408.6998,25,1,450.0047,0.4887251,0.6780023
289,17340.56,408.7856,25,1,450.0047,0.4463873,0.7734778
290,17400.56,408.8713,25,1,450.0047,0.4907501,0.6338899
291,17460.56,408.9571,25,1,450.0047,0.4906355,0.9787716
292,17520.56,409.0429,25,1,450.0047,0.4470361,0.8351038
293,17580.56,409.1286,25,1,450.0047,0.4573033,0.795532
294,17640.56,409.2144,25,1,450.0047,0.4968686,0.6151702
295,17700.56,409.3002,25,1,450.0047,0.4463481,0.5988225
296,17760.56,409.3859,25,1,450.0047,0.4753888,0.9165731
297,17820.56,409.4717,25,1,450.0047,0.4502988,0.4239267
298,17880.56,409.5575,25,1,450.0047,0.4591423,0.843495
299,17940.56,409.6432,25,1,450.0047,0.4808973,1.078025
300,18000.56,409.729,25,1,450.0047,0.4642877,0.8420548
301,18060.56,409.8147,25,1,450.0047,0.4550318,0.6477673
302,18120.56,409.9005,25,1,450.0047,0.4792583,0.9707426
303,18180.56,409.9863,25,1,450.0047,0.4793865,0.6604777
304,18240.56,410.072,25,1,450.0047,0.4831402,0.7787502
305,18300.56,410.1578,25,1,450.0047,0.4570882,0.8652788
306,18360.56,410.2436,25,1,450.0047,0.4422005,0.6170952
307,18420.56,410.3293,25,1,450.0047,0.4698116,0.897652
308,18480.56,410.4151,25,1,450.0047,0.4844999,0.7073563
309,18540.56,410.5009,25,1,450.0047,0.4936298,0.993067
310,18600.56,410.5866,25,1,450.0047,0.4549001,0.8589694
311,18660.56,410.6724,25,1,450.0047,0.477667,0.791802
312,18720.56,410.7581,25,1,450.0047,0.4524643,0.9909791
313,18780.56,410.8439,25,1,450.0047,0.4852227,0.8447415
